id_slug	title	copy	mediaSrc	show	showOnHome	homeOrder
Comedy-central	Comedy Central Digital	tktk	/comedycentraloriginals.jpg			
Making-it	Making It	tktk				
Apocalypse-problems	Apocalypse Problems	tktk				
Asian-afterlife	Andy's Asian Afterlife	tktk				
